State,Male 2014
South Carolina,16
Mississippi,23
Alaska,8
Delaware,10
Maryland,6
Alabama,17
New Jersey,5
Wyoming,28
Minnesota,7
Iowa,10
District of Columbia,
Connecticut,6
Texas,13
Utah,7
Georgia,11
Rhode Island,
Louisiana,16
Missouri,14
Nebraska,14
Washington,6
Michigan,8
Indiana,11
Florida,8
Pennsylvania,8
Hawaii,4
Arkansas,16
Arizona,7
Vermont,
Virginia,8
Massachusetts,5
North Carolina,12
Montana,19
New Hampshire,5
Nevada,7
United States,9
West Virginia,14
Tennessee,15
California,6
North Dakota,22
Illinois,6
South Dakota,17
Oregon,8
Wisconsin,9
New York,4
Colorado,8
Oklahoma,19
Maine,10
Idaho,11
Ohio,8
Kentucky,16
Kansas,15
New Mexico,16
